gene	spot	Repeat 1 Gcn4 0h	Repeat 1 Gcn4 MMS 15m	Repeat 1 Gcn4 0m	Repeat 2 Gcn4 MMS 15m	Repeat 2 Gcn4 MMS 60m
YAL001C	iYAL001C	0.207091411	0.598778588	0.48756145	0.350328441	0.077949027
YAL002W*	iYAL003W + iYBR027C	NA	NA	NA	NA	NA
YAL003W*	iYAL004W + iYBR025C	NA	NA	NA	NA	NA
YAL004W	itP(UGG)A	0.573827866	0.042861795	0.239636947	0.366920315	0.322562579
YAL005C*	iYAL004W + iYBR025C	NA	NA	NA	NA	NA
YAL007C	iYAL007C	0.602226279	0.729942246	0.354288628	0.757371462	0.593405511
YAL008W	iYAL009W	0.654144868	0.918670785	0.956127285	0.357090661	0.706597392
YAL009W	iYAL010C	0.065367156	0.725707641	0.024693018	0.4830753	0.944146674
YAL010C	iYAL010C	0.065367156	0.725707641	0.024693018	0.4830753	0.944146674
YAL011W	iYAL012W	0.144302263	0.42227447	0.391376527	0.842676001	0.96854974
YAL012W	iYAL013W	0.334255552	0.357422586	0.221369539	0.279354549	0.16003153
YAL013W	iYAL014C	0.214597446	0.717610053	0.433858947	0.031763985	0.339522427
YAL014C	iYAL014C	0.214597446	0.717610053	0.433858947	0.031763985	0.339522427
YAL015C*	iYAL015C + iYBR014C	NA	NA	NA	NA	NA
YAL016W	iYAL017W	0.287860974	0.642266694	0.990361817	0.608771482	0.936572115
YAL017W	iYAL018C	0.292416454	0.103906418	0.201551561	0.075485596	0.112785794
YAL018C	iYAL018C	0.292416454	0.103906418	0.201551561	0.075485596	0.112785794
YAL019W	iYAL020C	0.852246197	0.555282526	0.96400054	0.859680807	0.949333288
YAL020C	iYAL020C	0.852246197	0.555282526	0.96400054	0.859680807	0.949333288
YAL021C	iYAL021C	0.992009715	0.823754619	0.958923883	0.871474189	0.832380419
YAL022C	iYAL022C	0.027637191	0.698626911	0.136492064	0.335634672	0.107338469
YAL023C	iYAL023C	0.505636947	0.408028554		0.419252287	0.543642096
YAL024C	iYAL024C	0.80603778	0.326638698	0.443831521	0.320972997	0.453126426
YAL025C	iYAL025C	0.137644031	0.593492468	0.472322895	0.854684287	0.712227256
YAL026C	iYAL026C	0.528174931	0.664853931	0.535213998	0.882809799	0.842759172
YAL027W*	iYAL028W + iYBR004C	NA	NA	NA	NA	NA
YAL028W	iYAL029C	0.563902067	0.85393045	0.870887694	0.765586433	0.953794613
YAL029C	iYAL029C	0.563902067	0.85393045	0.870887694	0.765586433	0.953794613
YAL030W	iYAL031C	0.626142549	0.988110932	0.569095123	0.812980994	0.681687923
YAL031C	iYAL031C	0.626142549	0.988110932	0.569095123	0.812980994	0.681687923
YAL032C	iYAL032C	0.33958971	0.402013543	0.471435346	0.635596619	0.799202589
YAL033W	iYAL034C	0.499986128	0.769319973	0.607534804	0.62853746	0.380860813
YAL034C	iYAL034C	0.499986128	0.769319973	0.607534804	0.62853746	0.380860813
YAL034W-A	iYAL036C	0.68196043	0.61223055	0.751839711	0.368304054	0.844642396
YAL035C-A	iYAL034W-A	0.494390945	0.601975115	0.354226155	0.51470012	0.610154312
YAL035W	iYAL036C	0.68196043	0.61223055	0.751839711	0.368304054	0.844642396
YAL036C	iYAL036C	0.68196043	0.61223055	0.751839711	0.368304054	0.844642396
YAL037W	iYAL038W	0.419904643	0.42578517	0.286775475	0.641220252	0.531039517
YAL038W*	iYAL039C-1 + iYBL005W	NA	NA	NA	NA	NA
