gene	spot	Repeat 1 Ino4 YPD	Repeat 1 Ino4 AA 4h	Repeat 2 Ino4 AA YPD	Repeat 2 Ino4 AA 4h
YAL001C	iYAL001C	0.683726578	0.48432849	0.737083662	0.965779758
YAL002W*	iYAL003W + iYBR027C	NA	NA	NA	NA
YAL003W*	iYAL004W + iYBR025C	NA	NA	NA	NA
YAL004W	itP(UGG)A	0.729982445	0.602057402	0.518384889	0.714467877
YAL005C*	iYAL004W + iYBR025C	NA	NA	NA	NA
YAL007C	iYAL007C	0.499504495	0.579291395	0.473687044	0.335152035
YAL008W	iYAL009W	0.796039723	0.660067546	0.458176019	0.738809824
YAL009W	iYAL010C	0.750576109	0.604916788	0.752762355	0.285192619
YAL010C	iYAL010C	0.750576109	0.604916788	0.752762355	0.285192619
YAL011W	iYAL012W	0.107669369	0.226106481	0.114611783	0.124761666
YAL012W	iYAL013W	0.183467764	0.310799636	0.167434237	0.445054645
YAL013W	iYAL014C	0.352750987	0.740822962	0.505208126	0.084576481
YAL014C	iYAL014C	0.352750987	0.740822962	0.505208126	0.084576481
YAL015C*	iYAL015C + iYBR014C	NA	NA	NA	NA
YAL016W	iYAL017W	0.857635209	0.610546981	0.743621566	0.821467211
YAL017W	iYAL018C	0.650848368	0.627208249	0.642757036	0.909946812
YAL018C	iYAL018C	0.650848368	0.627208249	0.642757036	0.909946812
YAL019W	iYAL020C	0.261688134	0.595612803	0.577437634	0.034461586
YAL020C	iYAL020C	0.261688134	0.595612803	0.577437634	0.034461586
YAL021C	iYAL021C	0.222267937	0.345584071	0.526599551	0.094184726
YAL022C	iYAL022C	0.52362882	0.666089055	0.628667662	0.34733037
YAL023C	iYAL023C	0.486094651	0.879890247	0.627991191	0.54019528
YAL024C	iYAL024C	0.777357184	0.688467665	0.584293133	0.541057732
YAL025C	iYAL025C	0.615202961	0.612450717	0.508000147	0.265070141
YAL026C	iYAL026C	0.644887201	0.881619576	0.817884317	0.462424923
YAL027W*	iYAL028W + iYBR004C	NA	NA	NA	NA
YAL028W	iYAL029C	0.822081558	0.788706734	0.700100674	0.951430963
YAL029C	iYAL029C	0.822081558	0.788706734	0.700100674	0.951430963
YAL030W	iYAL031C	0.166337807	0.917720772	0.515382566	0.289021562
YAL031C	iYAL031C	0.166337807	0.917720772	0.515382566	0.289021562
YAL032C	iYAL032C	0.51544528	0.557661036	0.647560057	0.570493619
