id	value	cell_tested	state_tested	dnase_tested	cell_picked	state_picked	dnase_picked	matched	coords	len
#2018	6.327	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:73,441,229-73,441,523	295
#2061	5.416	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:45,004,509-45,004,803	295
#1992	5.376	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:7,232,569-7,232,863	295
#2008	4.958	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr10:120,840,249-120,840,543	295
#9873	4.908	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:38,270,169-38,270,463	295
#9882	4.803	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr5:112,196,749-112,197,043	295
#9902	4.791	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:12,792,509-12,792,803	295
#9916	4.712	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:5,903,689-5,903,983	295
#1968	4.697	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr1:3,712,949-3,713,243	295
#9853	4.616	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr12:51,632,389-51,632,683	295
#9896	4.503	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:223,725,469-223,725,763	295
#2033	4.352	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr9:123,605,109-123,605,403	295
#9918	4.147	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr21:33,765,229-33,765,523	295
#9847	4.038	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr3:61,236,929-61,237,223	295
#1984	3.905	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr6:142,468,129-142,468,423	295
#2012	3.898	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:36,813,249-36,813,543	295
#9920	3.792	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:15,490,589-15,490,883	295
#1991	3.701	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:86,790,429-86,790,723	295
#9855	3.688	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr4:4,261,249-4,261,543	295
#9851	3.684	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr14:69,405,389-69,405,683	295
#2014	3.678	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr8:96,037,089-96,037,383	295
#9900	3.656	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:237,876,749-237,877,043	295
#2042	3.444	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr22:30,278,969-30,279,263	295
#9869	3.328	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr16:12,191,409-12,191,703	295
#2028	3.289	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr7:102,389,169-102,389,463	295
#2030	3.213	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr8:145,159,669-145,159,963	295
#2002	3.148	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:241,195,749-241,196,043	295
#9838	3.087	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chrX:64,460,869-64,461,163	295
#2056	3.041	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr22:36,784,029-36,784,323	295
#2065	3.020	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chrX:11,776,509-11,776,803	295
#2040	2.959	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr20:20,693,429-20,693,723	295
#1971	2.927	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr4:13,485,849-13,486,143	295
#9877	2.925	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr20:21,076,929-21,077,223	295
#9884	2.885	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr16:30,389,029-30,389,323	295
#2003	2.672	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr20:62,610,149-62,610,443	295
#2045	2.639	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr8:125,384,809-125,385,103	295
#9885	2.587	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr22:42,916,709-42,917,003	295
#9875	2.515	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:40,306,989-40,307,283	295
#2050	2.504	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr5:42,993,309-42,993,603	295
#9903	2.476	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr10:93,668,589-93,668,883	295
#9924	2.472	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr12:107,349,349-107,349,643	295
#9834	2.471	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr1:156,261,229-156,261,523	295
#9871	2.406	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr9:100,395,669-100,395,963	295
#9849	2.379	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr3:48,282,469-48,282,763	295
#9899	2.171	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr16:4,674,609-4,674,903	295
#9828	2.116	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr18:18,691,669-18,691,963	295
#9880	2.101	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr6:105,307,589-105,307,883	295
#9909	2.098	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr1:94,445,509-94,445,803	295
#2006	1.815	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr8:124,408,829-124,409,123	295
#1995	1.814	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr22:43,485,269-43,485,563	295
#2052	1.760	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:70,396,409-70,396,703	295
#2047	1.741	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr16:31,084,529-31,084,823	295
#1998	1.721	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:56,631,709-56,632,003	295
#1974	1.694	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr5:176,882,309-176,882,603	295
#1987	1.694	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr1:3,209,829-3,210,123	295
#9848	1.582	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr1:23,703,889-23,704,183	295
#9876	1.577	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:75,359,929-75,360,223	295
#9889	1.566	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr11:47,291,449-47,291,743	295
#9894	1.406	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr19:58,987,329-58,987,623	295
#9827	1.324	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr8:11,560,689-11,560,983	295
#1977	1.268	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr10:105,991,949-105,992,243	295
#9858	1.257	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr3:194,257,729-194,258,023	295
#2055	1.207	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr12:52,418,569-52,418,863	295
#1999	1.206	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chrX:48,937,709-48,938,003	295
#2062	1.200	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr20:56,161,389-56,161,683	295
#9925	1.172	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr2:223,574,009-223,574,303	295
#9835	1.162	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr16:85,341,209-85,341,503	295
#2041	1.150	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr9:130,548,569-130,548,863	295
#9892	1.147	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr10:60,026,889-60,027,183	295
#9842	1.100	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr22:41,777,629-41,777,923	295
#9864	1.039	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr17:8,535,449-8,535,743	295
#1985	1.030	HepG2	1:Tss	DNase	HepG2	1:Tss	DNase	matched	chr7:1,500,569-1,500,863	295
#2068	6.540	HepG2	2:TssF	DNase	HepG2	2:TssF	DNase	matched	chr12:92,428,749-92,429,043	295
#9937	3.431	HepG2	2:TssF	DNase	HepG2	2:TssF	DNase	matched	chr2:24,622,329-24,622,623	295
#9930	1.777	HepG2	2:TssF	DNase	HepG2	2:TssF	DNase	matched	chr9:93,957,949-93,958,243	295
#2074	1.202	HepG2	2:TssF	DNase	HepG2	2:TssF	DNase	matched	chr1:28,008,969-28,009,263	295
#2101	4.132	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chrX:42,202,309-42,202,603	295
#2100	1.608	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr11:47,286,789-47,287,083	295
#2106	1.475	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr7:27,493,489-27,493,783	295
#2111	1.445	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr19:50,244,529-50,244,823	295
#9973	1.380	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr4:156,876,129-156,876,423	295
#9975	1.371	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr14:59,219,489-59,219,783	295
#9965	1.184	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr8:111,860,369-111,860,663	295
#9952	1.120	HepG2	3:PromF	DNase	HepG2	3:PromF	DNase	matched	chr4:82,543,709-82,544,003	295
#2130	6.417	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr6:163,277,889-163,278,183	295
#2180	5.044	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr17:38,754,849-38,755,143	295
#9988	4.461	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr15:34,880,529-34,880,823	295
#10046	3.801	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr19:4,759,809-4,760,103	295
#10071	3.528	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr10:69,523,229-69,523,523	295
#2143	3.418	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr6:44,011,369-44,011,663	295
#2179	3.197	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr12:122,710,669-122,710,963	295
#2152	3.054	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr9:131,965,069-131,965,363	295
#2148	2.905	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr7:27,135,589-27,135,883	295
#2213	2.750	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr20:3,761,989-3,762,283	295
#10051	2.717	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr17:56,381,689-56,381,983	295
#10059	2.664	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr17:48,258,529-48,258,823	295
#10002	2.662	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr20:60,346,829-60,347,123	295
#10024	2.614	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr10:99,534,589-99,534,883	295
#2175	2.325	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr18:24,128,449-24,128,743	295
#2209	2.170	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr10:32,496,429-32,496,723	295
#9998	2.100	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr18:61,637,689-61,637,983	295
#10023	1.923	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr14:24,806,649-24,806,943	295
#2205	1.897	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr7:128,576,309-128,576,603	295
